user_id,has_prior_experience,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
594a969df0ea1b0001558178,False,1,12,"[4.805, 6.03, 7.31, 13.811, 3.461, 4.184, 4.087, 4.853, 3.522, 3.826, 7.646, 4.227]",67.762,155.535,"[0, 1, 2, 3]","[1, 2]",False,Object 3 alone does not turn on the machine but 3 with any other object will turn it on.,disjunctive,conjunctive,False
5e63e793e50a6316a75213c4,False,1,16,"[12.331, 11.206, 6.231, 5.347, 6.765, 6.196, 17.281, 7.337, 13.276, 8.749, 16.009, 6.325, 33.372, 17.059, 6.124, 4.695]",178.303,411.795,"[0, 1, 2, 3]","[1, 2]",False,"the following combos turn on the machine: 2,3,4,  2,3  1,2,3  1,2,3,4. Based on this, I think the rule is that the numbers must be sequential and have the number 2 in it.",conjunctive,conjunctive,True
6070fa4b22640f1d2b78c5a7,False,1,2,"[4.508, 5.208]",9.716,104.022,[],"[1, 2]",False,"I misunderstood the instructions. I thought it was the same as the practice round where if at least 1 Nexiom is on the machine, then the machine will turn on. I didn't do enough rounds to determine the rule.",conjunctive,conjunctive,True
6100b6365a3b961d941f7071,False,1,5,"[6.69, 9.231, 5.921, 18.984, 4.179]",45.005,109.017,[],"[1, 2]",False,None of these items turn on the Nexiom machine.,conjunctive,conjunctive,True
610863156133d1485b80d389,False,1,5,"[6.75, 5.03, 2.744, 3.369, 4.948]",22.841,77.48,[0],"[0, 1]",False,"The one test I ran with Object 1 off, the machine was off",disjunctive,disjunctive,True
62a0b34cbcc5987a8fa73c39,False,1,2,"[6.297, 4.857]",11.154,104.436,[3],"[1, 3]",False,Object 4 must be on the machine,conjunctive,conjunctive,True
663a41265f6d1a3d681574c2,False,1,3,"[14.371, 23.295, 10.653]",48.319,101.25,[3],"[1, 3]",False,The Nexiom machine is turned on by Object 4 only,disjunctive,conjunctive,False
66d327f02e9e567850b49aee,False,1,5,"[29.006, 10.318, 84.362, 3.79, 1.482]",128.958,208.064,"[0, 1, 2, 3]","[0, 3]",False,All objects need to be on the platform to turn on the machine.,conjunctive,conjunctive,True
677a9ad8c567199c95f2dc4c,False,1,1,[13.86],13.86,184.163,"[0, 3]","[1, 2]",False,I think the objects turn on in  this machine by being placed in the machine,conjunctive,conjunctive,True
67ab642b1885c553052f7e8a,False,1,1,[7.872],7.872,97.345,[3],"[1, 2]",False,"When the 4th object is placed on the machine, it powers on suggesting it is a Nexiom.",disjunctive,conjunctive,False
